Name,Kurzname,Beschreibung,Farbe,Grad,FirstFound,FirstAscent,Lat,Lon
,,B) Wie A aber ohne Hände bis auf dem runden Vorsprung der Brüstung,4,,,,,
Bastion Wand,bastion_wand,"A) Die Wand hoch, in den Riss zwischen Wand und Decke/Fahrbahn, dann nach links hangeln und um die Ecke herum runterklettern",6,,Lukas,David,52.39217,13.06258
,,"B) Mit den Rillen bis zum Spalt hoch, dann nach rechts um die Ecke und austoppen",4,x,,,,
,,"C) An der Kante hoch bis zum Spalt, dann nach rechts und hoch",5,x,,,,
Bassi-Haus,bassi_haus,A) Ums Haus (beide Richtungen),3,,,,52.40035,13.06104
,,"B) An der Türseite von einer Seite zur anderen, ohne die Tür oder die obere Kante unterhalb der Fenster zu nutzen (nur Wand)",4,,,,,
,,C) Aufs Haus (Vorsichtig mit weichem Dachmetall),5,,,,,
Schiffbauergasse Humboldt,schiff_humboldt,A) Vom Gehweg unten mit Wallrun hoch zum Wartungsgang unter der Brücke (auf die andere Havelseite und zurück),5,,,,52.40095,13.07321
Schiffbauergasse Brücke ,schiff_bruecke,A) Vom Boden bis unten die Brücken-Brüstung,5,,Lukas,,52.40106,13.07333
,,B) Wie A und bis auf die Brücke (nur mit Seilsicherung probieren),6,,Lukas,,,
Schiffbauergasse Parkhaus ,schiff_parkhaus,A) In Verschneidung hoch und hoch-manteln,4,,,,52.4033321117971,13.074079896884
Schiffbauergasse Offizze,schiff_offizze,A) Am Backsteinhaus zwischen Waschhaus und Fabrik entlang bis zur Ecke (beide Richtungen),3,,,,52.40309,13.07418
,,B) Wie A und weiter bis zur Treppenkonstruktion,4,,Stevie,Stevie,,
Schiffbauergasse Reithalle,schiff_reithalle,A) Traverse an der Wand entlang (beide Richtungen),3,,,,52.40356,13.0729
,,B) Bis auf die Fenstersimse hoch,5,,,,,
Schiffbauergasse Studio,schiff_studio,A) Von der Gebäudekante bis zur Torkante (beide Richtungen),4,,,David,52.40169,13.07264
Schiffbauergasse Theater,schiff_theater,A) An den Metalltrrägern nach oben (Achtung Höhe),4,,Jonas,Jonas,52.40294,13.07456
Schiffbauergasse Villa,schiff_villa,"A) Entlang der Wand, vorbei an den Fenstern",3,,,,52.4032,13.07252
,,B) Wie A und um die Ecke herum,4,,Stevie,Stevie,,
,,C) Wie B und wieder zurück,5,,,,,
Babelsberg Verschneidung,babelsberg_verschneidung,A) ?,?,,,,52.39161,13.0932
Babelsberg Säulen,babelsberg_saeulen,A) ?,?,,,,52.39162,13.09415
Babelsberg Traverse,babelsberg_traverse,A) ?,?,,,,52.39149,13.09484
Bahnhof Seite,bahnhof_seite,A) ?,?,,,,52.39102,13.06861
,,B) ?,?,,,,,
Haus der Wirtschaft vorne,wirtschaft_vorne,A) ?,?,,,,52.38822,13.07801
Haus der Wirtschaft hinten,wirtschaft_hinten,A) ?,?,,,,52.38822,13.07878
Weinbergtreppenmauer,weinberg_mauer,A) Traverse an der Mauer (beide Richtungen),3,,,,52.40448,13.04459
,,B) An der Mauer hoch und auf die andere Seite,5,,,,,
Breite Strasse Obelisk,breite_obelisk,A) Einmal um den Obelisk herum (beide Richtungen),1,,,,52.39605,13.05003
,,B) An den Profilleisten bis zur Vorsprung,2,,,,,
,,C) Wie C und um den Vorsprung herum (nur mit erfahrenen Spottenden und Crashpad!),4,,,,,
Breite Strasse Steinskulptur,breite_skulptur,A) An der Leiter-artigen Stirnseite nach oben,2,,,,52.39612,13.04912
,,"B) Sitzstart auf der glatten Natursteinseite, glatte linke und Leiter-artige rechte Kante können mit genutzt werden",4,,,,,
,,"C) Es wird nur die glatten Natursteinseite (und evtl. eine Kante) genutzt, Stehstart",6,,,,,
Havelbuchtbrücke unten drunter,havelbucht_bruecke,A) Vom Fußweg mit Wallrun zum Brückabsatz und an Havelbuchtseite unten an der Brücke entlang (nur mit Seepferdchen),3,,,,52.39302,13.04446
,,"B) Wie A, aber von oben zur Brückenseite runter klettern",3,,,,,
Platte Dach,platte_dach,A) Mit Mauerelementen auf das Dach des Häuschens,2,,,,52.38825,13.02232
,,B) Wie A aber ohne die Mauerelemente als Tritte zu nutzen,3,,,,,
,,C) Ohne Mauern zu nutzen aufs Dach kommen,4,,,,,
Sportschule Parkhaus,sportschule_parkhaus,A) Am Parkhaus mit den diagonalen Streben nach oben,3,,,,52.38164,13.01878
,,B) Wie A aber in einem Segment ohne diagonale Streben,4,,,,,
,,C) Wie B aber nur unter Nutzung der senkrechten Metallträger (mit Crashpad wegen höherer Abrutschchance),5,,,,,
Pirschheide Straßenbrücke,pirschheide_strasse,"A) Unter Nutzung der Verschneidung nach oben und Ausstieg über Geländer (Achtung Bahnverkehr! Beide Staßenseiten, jeweils Seite ohne Regenrohr)",3,,,,52.3751,13.00628
,,"B) Wie A, aber es wird nur die Brückenkante genutzt",4,,David,David,,
,,"C) Wie A, aber es wird gar keine Kante und nur die flache Mauer genutzt (an einigen Stellen einfacher als an anderen, Suchaufgabe)",5,,,,,
,,"D) Traverse in geringer bis moderater Höhe ohne obere Kante natürlich (in beide Richtungen, beide Straßenseiten)",6,,,,,
Pirschheide Havelbrücke,pirschheide_havel,"A) An der Kante nach oben (Achtung, für den Ausstieg muss man über den Sockel hinaus an der Brücke nach oben aussteigen!)",4,,David,David,52.37012,13.01617
,,B) Andere Stellen an der geraden Wand finden und vertikal klettern,5,,David,David,,
,,C) Teilweise Traverse (beide Richtungen),6,,David,David,,
Pirschheide Havelprojekt,pirschheide_havelprojekt,A) Lange Tranverse,7,,David,David,52.37003,13.01618
Neues Palais Nische,palais_nische,A) Auf einer Seite der Nische starten und zur anderen kommen,5,,Stevie,Stevie,52.40081,13.01345
Teufelsbrücke,teufelbruecke_pfeiler,"A) An der Innenseite hoch (maximal bis Absprunghöhe, Achtung unebener Boden)",3,,,,52.40969,13.0181
,,"B) An den Brückenansätzen, von einer auf die andere Seite (beide Seiten, beide Richtungen)",4,,,,,
,,"C) Um alle Pfeiler herum (nicht auf Bild zu sehen, beide Richtungen, manche sind einfacher als andere)",5,,,,,
Golm Bahnhof,golm_bahnhof,A) Diverses,3,,,,52.4103856188137,12.9724261878954
Golm Uni Kletteradler,golm_adler,A) Im überhängenden rechten Flügel hoch und oben aussteigen,4,,,,52.40751,12.97644
,,B) Im überhängenden linken Flügel hoch und oben aussteigen,4,,,,,
,,"C) Einmal um den mittleren Schnabelteil herum, ohne Bodenberührung oder Seilnutzung",4,,,,,
Buga-Park Bouldersichel,buga_sichel,A) Vom Kies im flachen Bereich der Sichel nach oben raus (z.B. weit rechts oder durchs Fensterloch),3,,,,52.41705,13.04974
,,B) Vom Kies im höheren Bereich der Sichel nach oben raus (mit Spotten/Hilfestellung),4,,,,,
,,C) Traverse um die Sichel (beide Richtungen),5,,,,,
